domain,diamond_id,value_tier,width,height,aspect_ratio,r_mean,g_mean,b_mean,r_std,g_std,b_std
ja_natural,27898498,mid_range,757,600,1.2617,188.1436,187.1317,185.3573,34.8094,34.6152,35.062
ja_natural,27232781,mid_range,757,600,1.2617,186.8822,186.3349,183.8415,41.983,41.3906,41.1492
ja_natural,27787110,mid_range,757,600,1.2617,189.2994,188.7648,186.4424,37.8738,37.4143,37.6972
ja_natural,28381279,mid_range,757,600,1.2617,190.4198,189.5138,187.4787,31.8987,31.9383,32.23
ja_natural,27857413,mid_range,757,600,1.2617,180.2296,180.0164,179.9039,52.7549,52.6218,51.6789
ja_natural,27988147,mid_range,757,600,1.2617,162.8283,162.6324,161.2674,66.0161,65.2187,65.8273
ja_natural,27018752,mid_range,757,600,1.2617,190.6349,190.2279,190.3079,31.5946,31.7792,31.9535
ja_natural,27323860,mid_range,757,600,1.2617,189.0116,188.42,187.4523,36.1225,36.2896,36.1208
ja_natural,26218643,mid_range,757,600,1.2617,180.1576,178.9119,176.007,44.3147,44.0041,42.9879
ja_natural,28088948,mid_range,757,600,1.2617,172.6415,173.2012,169.6809,62.6104,61.8448,61.1568
ja_natural,28082496,mid_range,757,600,1.2617,173.4362,173.3658,173.89,53.0535,52.9494,51.0312
ja_natural,11992900,mid_range,765,606,1.2624,181.6435,181.0713,177.7932,37.6344,37.429,37.6693
ja_natural,25440672,mid_range,757,600,1.2617,184.3231,182.0722,178.404,39.0228,39.5794,39.4532
ja_natural,26737176,mid_range,757,600,1.2617,177.9602,176.8894,171.753,52.2985,51.7343,51.9259
ja_natural,24003959,mid_range,757,600,1.2617,185.1895,184.9279,184.6679,34.4668,34.5404,34.9834
ja_natural,27264607,mid_range,757,600,1.2617,183.354,182.4958,181.9731,37.8692,38.1343,38.2029
ja_natural,28160086,mid_range,757,600,1.2617,187.4449,187.8441,188.7849,37.5792,36.5224,35.9487
ja_natural,23945704,mid_range,757,600,1.2617,182.3067,181.5307,179.2391,32.552,32.2899,32.6116
ja_natural,16938262,mid_range,757,600,1.2617,174.2232,173.6419,170.9353,50.3222,50.7278,51.1734
ja_natural,24855565,mid_range,757,600,1.2617,183.8607,183.0195,179.0247,42.3005,42.0657,42.1351
ja_natural,27641106,mid_range,757,600,1.2617,186.6361,186.046,186.4317,34.1435,33.6885,33.2005
ja_natural,28316316,mid_range,757,600,1.2617,188.8264,189.5642,190.5107,41.3249,40.6175,39.974
ja_natural,25422479,mid_range,757,600,1.2617,185.472,185.6178,184.9807,44.8269,44.9421,44.8511
ja_natural,23755937,mid_range,757,600,1.2617,168.9945,165.6932,163.6606,54.8006,55.4612,54.138
ja_natural,25791298,mid_range,757,600,1.2617,185.3426,184.8319,183.9996,40.1061,39.7207,39.036
ja_natural,27091001,mid_range,757,600,1.2617,185.9663,184.9166,180.4003,29.4103,29.7255,31.9034
ja_natural,28316314,mid_range,757,600,1.2617,185.8092,185.3031,183.8631,32.3782,31.9617,31.8606
ja_natural,28149293,mid_range,757,600,1.2617,173.365,173.3703,171.0437,57.8352,56.343,55.3701
ja_natural,28310180,mid_range,757,600,1.2617,179.8456,179.1374,178.1732,55.1417,54.6057,53.1337
ja_natural,236785,mid_range,757,600,1.2617,176.8515,176.5841,176.5489,54.3806,54.3595,52.34
ja_natural,28156848,mid_range,757,600,1.2617,187.8434,186.9606,185.4394,29.5541,29.6842,29.3917
ja_natural,27190471,mid_range,757,600,1.2617,186.6353,185.8081,180.8619,31.097,31.2399,33.1944
ja_natural,27705267,mid_range,757,600,1.2617,184.1519,184.8433,185.5737,52.1515,51.2808,49.6077
ja_natural,28334901,mid_range,757,600,1.2617,162.7645,163.071,161.9727,67.6294,67.3136,65.7747
ja_natural,27971181,mid_range,757,600,1.2617,186.3558,185.2252,181.5782,32.2073,32.1382,32.9271
ja_natural,24100435,mid_range,757,600,1.2617,163.5454,163.9351,163.4169,60.7494,58.8371,54.9596
ja_natural,24268265,mid_range,757,600,1.2617,174.0876,174.7445,174.7543,61.4477,60.9706,59.3774
